entry_time,exit_time,qty,pnl,reason
2025-03-25 09:30:00-04:00,2025-03-25 09:35:00-04:00,1,-31.0,stop
2025-03-25 09:40:00-04:00,2025-03-25 09:50:00-04:00,1,-31.0,stop
2025-03-25 09:55:00-04:00,2025-03-25 10:00:00-04:00,1,-31.0,stop
2025-03-25 10:05:00-04:00,2025-03-25 11:50:00-04:00,1,19.9375,signal
2025-03-26 09:30:00-04:00,2025-03-26 09:50:00-04:00,1,-31.0,stop
2025-03-26 14:00:00-04:00,2025-03-26 14:10:00-04:00,-1,-31.0,stop
2025-03-26 14:15:00-04:00,2025-03-26 15:50:00-04:00,-1,-31.0,stop
2025-03-27 09:30:00-04:00,2025-03-27 09:50:00-04:00,-1,-31.0,stop
2025-03-27 12:00:00-04:00,2025-03-27 12:05:00-04:00,-1,-31.0,stop
2025-03-27 12:10:00-04:00,2025-03-27 12:15:00-04:00,-1,-31.0,stop
2025-03-27 12:20:00-04:00,2025-03-27 14:20:00-04:00,-1,64.9375,signal
2025-03-28 09:30:00-04:00,2025-03-28 09:35:00-04:00,-1,-31.0,stop
2025-03-28 09:40:00-04:00,2025-03-28 14:30:00-04:00,-1,478.6875,signal
2025-03-28 14:55:00-04:00,2025-03-28 15:05:00-04:00,-1,-31.0,stop
2025-03-28 15:10:00-04:00,2025-03-28 15:55:00-04:00,-1,22.75,session_eod
2025-03-31 09:30:00-04:00,2025-03-31 09:55:00-04:00,-1,-31.0,stop
2025-03-31 10:00:00-04:00,2025-03-31 10:05:00-04:00,-1,-31.0,stop
2025-03-31 10:10:00-04:00,2025-03-31 10:30:00-04:00,-1,-31.0,stop
2025-03-31 10:35:00-04:00,2025-03-31 10:45:00-04:00,-1,-31.0,stop
2025-03-31 10:50:00-04:00,2025-03-31 11:00:00-04:00,-1,-31.0,stop
2025-04-01 15:00:00-04:00,2025-04-01 15:05:00-04:00,-1,-31.0,stop
2025-04-01 15:10:00-04:00,2025-04-01 15:15:00-04:00,-1,-31.0,stop
2025-04-01 15:20:00-04:00,2025-04-01 15:25:00-04:00,-1,-11.625,signal
2025-04-02 10:00:00-04:00,2025-04-02 10:05:00-04:00,1,-31.0,stop
2025-04-02 10:10:00-04:00,2025-04-02 14:00:00-04:00,1,241.8125,signal
2025-04-02 15:40:00-04:00,2025-04-02 15:55:00-04:00,1,5.875,session_eod
2025-04-03 10:00:00-04:00,2025-04-03 11:40:00-04:00,-1,15.25,signal
2025-04-03 13:15:00-04:00,2025-04-03 15:55:00-04:00,-1,281.5,session_eod
2025-04-04 09:30:00-04:00,2025-04-04 11:00:00-04:00,-1,306.8125,signal
2025-04-04 11:05:00-04:00,2025-04-04 11:10:00-04:00,-1,-31.0,stop
2025-04-04 11:25:00-04:00,2025-04-04 11:30:00-04:00,-1,105.875,signal
2025-04-04 12:15:00-04:00,2025-04-04 13:55:00-04:00,-1,64.3125,signal
2025-04-04 14:25:00-04:00,2025-04-04 15:10:00-04:00,-1,-31.0,stop
2025-04-04 15:15:00-04:00,2025-04-04 15:20:00-04:00,-1,-31.0,stop
2025-04-04 15:25:00-04:00,2025-04-04 15:30:00-04:00,-1,-31.0,stop
2025-04-04 15:35:00-04:00,2025-04-04 15:40:00-04:00,-1,26.8125,signal
2025-04-07 09:30:00-04:00,2025-04-07 09:45:00-04:00,-1,-31.0,stop
2025-04-07 09:50:00-04:00,2025-04-07 09:55:00-04:00,-1,-31.0,stop
2025-04-07 10:00:00-04:00,2025-04-07 10:05:00-04:00,-1,-31.0,stop
2025-04-07 10:35:00-04:00,2025-04-07 10:40:00-04:00,-1,-31.0,stop
2025-04-07 12:05:00-04:00,2025-04-07 12:10:00-04:00,-1,-31.0,stop
2025-04-07 12:15:00-04:00,2025-04-07 12:20:00-04:00,-1,-31.0,stop
2025-04-07 13:00:00-04:00,2025-04-07 13:10:00-04:00,-1,-31.0,stop
2025-04-08 13:00:00-04:00,2025-04-08 13:05:00-04:00,-1,-31.0,stop
2025-04-08 13:10:00-04:00,2025-04-08 13:15:00-04:00,-1,-31.0,stop
2025-04-08 13:20:00-04:00,2025-04-08 13:35:00-04:00,-1,-31.0,stop
2025-04-08 13:40:00-04:00,2025-04-08 13:45:00-04:00,-1,-31.0,stop
2025-04-08 13:50:00-04:00,2025-04-08 13:55:00-04:00,-1,-31.0,stop
2025-04-08 14:00:00-04:00,2025-04-08 14:30:00-04:00,-1,-31.0,stop
2025-04-08 14:35:00-04:00,2025-04-08 14:45:00-04:00,-1,-31.0,stop
2025-04-08 14:50:00-04:00,2025-04-08 15:55:00-04:00,-1,324.0,session_eod
2025-04-09 09:30:00-04:00,2025-04-09 09:35:00-04:00,-1,-31.0,stop
2025-04-09 11:00:00-04:00,2025-04-09 11:05:00-04:00,-1,-31.0,stop
2025-04-09 11:10:00-04:00,2025-04-09 11:15:00-04:00,-1,-31.0,stop
2025-04-09 11:30:00-04:00,2025-04-09 11:45:00-04:00,-1,-31.0,stop
2025-04-09 11:50:00-04:00,2025-04-09 12:10:00-04:00,-1,-31.0,stop
2025-04-09 14:00:00-04:00,2025-04-09 14:05:00-04:00,1,-31.0,stop
2025-04-09 14:10:00-04:00,2025-04-09 14:15:00-04:00,1,-31.0,stop
2025-04-09 14:20:00-04:00,2025-04-09 14:30:00-04:00,1,-31.0,stop
2025-04-09 14:35:00-04:00,2025-04-09 14:40:00-04:00,1,-31.0,stop
2025-04-09 14:45:00-04:00,2025-04-09 14:50:00-04:00,1,-31.0,stop
2025-04-09 14:55:00-04:00,2025-04-09 15:00:00-04:00,1,-31.0,stop
